Id,MS SubClass,MS Zoning,Lot Area,Lot Shape,Utilities,Land Slope,Neighborhood,Condition 2,Overall Qual,Overall Cond,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Val,Mo Sold,SalePrice,age_of_home,age_of_garage,age_of_remodel,Street_Pave,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Condition 1_Feedr,Condition 1_Norm,Condition 1_PosA,Condition 1_PosN,Condition 1_RRAe,Condition 1_RRAn,Condition 1_RRNe,Condition 1_RRNn,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Central Air_Y,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_No Garage,Bsmt Exposure_2.0,Bsmt Exposure_3.0,Bsmt Exposure_4.0,Bsmt Exposure_5.0
1044,160,RM,1680,3,3,3,BrDale,Norm,6,5,HdBoard,HdBoard,BrkFace,232.0,3,3,3,3,5.0,387.0,1.0,0.0,96.0,483.0,GasA,3,5,483,504,0,987,0.0,0.0,1,1,2,1,3,4,Typ,0,0.0,1,1.0,264.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0,7,85400,50,50.0,50,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2752,20,RL,7488,2,3,3,CollgCr,Norm,7,5,VinylSd,VinylSd,None,0.0,4,3,4,3,6.0,393.0,1.0,0.0,815.0,1208.0,GasA,5,5,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,Typ,0,0.0,3,2.0,632.0,3.0,3.0,3,105,58,0,0,0,0,0.0,0.0,0,2,183600,16,16.0,16,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
807,70,RL,26400,3,3,3,SawyerW,Norm,5,7,HdBoard,HdBoard,None,0.0,4,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,GasA,5,5,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,Mod,1,3.0,1,2.0,576.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,0,6,131000,141,121.0,14,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1177,160,FV,2645,3,3,3,Somerst,Norm,8,5,MetalSd,MetalSd,BrkFace,456.0,4,3,4,3,6.0,813.0,1.0,0.0,147.0,960.0,GasA,5,5,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,Typ,0,0.0,1,2.0,480.0,3.0,3.0,3,169,0,0,0,0,0,0.0,0.0,0,12,200000,22,21.0,21,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1480,20,RL,9627,3,3,3,CollgCr,Norm,7,5,VinylSd,VinylSd,None,0.0,4,3,4,3,6.0,24.0,1.0,0.0,1327.0,1351.0,GasA,5,5,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,Typ,0,0.0,3,2.0,610.0,3.0,3.0,3,0,50,0,0,0,0,0.0,0.0,0,6,193000,14,14.0,14,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
324,20,RL,10114,3,3,3,Mitchel,Norm,5,5,VinylSd,VinylSd,None,0.0,3,3,5,3,1.0,0.0,1.0,0.0,1430.0,1430.0,GasA,5,5,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,Typ,0,0.0,3,2.0,624.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0,3,173500,17,17.0,16,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1311,70,RM,4571,3,3,3,OldTown,Norm,5,5,AsbShng,AsbShng,None,0.0,3,3,3,3,1.0,0.0,1.0,0.0,624.0,624.0,GasA,2,5,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,Typ,0,0.0,1,3.0,513.0,2.0,2.0,3,0,0,96,0,0,0,0.0,0.0,0,5,98000,105,105.0,71,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
770,20,RL,8816,3,3,3,Sawyer,Norm,5,6,VinylSd,VinylSd,None,0.0,3,3,3,3,3.0,651.0,1.0,0.0,470.0,1121.0,GasA,3,5,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,Typ,0,0.0,1,2.0,480.0,3.0,3.0,3,0,80,0,0,0,0,0.0,8.0,0,6,139000,58,58.0,58,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2063,20,RL,8197,3,3,3,Sawyer,Norm,6,5,Plywood,Plywood,BrkFace,148.0,3,3,3,3,1.0,0.0,1.0,0.0,660.0,660.0,GasA,5,5,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,Typ,1,3.0,3,2.0,528.0,3.0,3.0,3,138,0,0,0,0,0,0.0,8.0,0,4,143500,44,44.0,44,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
69,60,FV,8640,3,3,3,Somerst,Norm,7,5,VinylSd,VinylSd,None,0.0,3,3,4,3,6.0,24.0,1.0,0.0,732.0,756.0,GasA,5,5,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,Typ,0,0.0,1,2.0,614.0,3.0,3.0,3,169,45,0,0,0,0,0.0,0.0,0,6,215200,12,12.0,12,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2062,20,RL,8724,3,3,3,Sawyer,Norm,5,5,VinylSd,VinylSd,None,0.0,3,3,4,3,4.0,492.0,1.0,0.0,402.0,894.0,GasA,4,5,894,0,0,894,0.0,0.0,1,0,3,1,3,5,Typ,1,1.0,5,2.0,450.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0,5,129000,53,53.0,53,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
351,120,RL,5664,2,3,3,StoneBr,Norm,8,5,CemntBd,CmentBd,None,0.0,4,3,4,3,6.0,1158.0,1.0,0.0,343.0,1501.0,GasA,5,5,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,Typ,1,5.0,5,2.0,499.0,3.0,3.0,3,212,59,0,0,0,0,0.0,0.0,0,10,278000,21,21.0,21,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
12,20,RL,7980,2,3,3,Gilbert,Norm,6,7,HdBoard,HdBoard,None,0.0,3,4,4,3,5.0,935.0,1.0,0.0,233.0,1168.0,GasA,5,5,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,Typ,0,0.0,5,2.0,420.0,3.0,3.0,3,483,21,0,0,0,0,0.0,10.0,500,3,185000,29,29.0,14,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2339,190,RL,34650,3,3,3,Gilbert,Norm,5,5,Wd Sdng,Wd Sdng,None,0.0,3,3,3,3,3.0,1056.0,1.0,0.0,0.0,1056.0,GasA,3,5,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,Typ,0,0.0,5,2.0,572.0,3.0,3.0,3,264,0,0,0,0,0,0.0,0.0,0,1,145000,66,66.0,66,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
624,20,RL,10573,2,3,3,NAmes,Norm,6,6,MetalSd,MetalSd,BrkFace,3.0,3,3,3,3,3.0,1312.0,1.0,0.0,141.0,1453.0,GasA,5,5,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,Typ,1,3.0,3,2.0,530.0,3.0,3.0,3,0,49,0,0,288,0,0.0,10.0,0,4,187500,60,60.0,60,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
86,20,RL,8450,3,3,3,Sawyer,Norm,5,8,MetalSd,MetalSd,None,0.0,3,4,3,3,6.0,553.0,4.0,117.0,224.0,894.0,GasA,5,5,894,0,0,894,1.0,0.0,1,0,3,1,3,5,Typ,1,4.0,1,1.0,336.0,3.0,3.0,3,416,144,0,0,0,0,0.0,8.0,0,4,138500,56,48.0,12,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1534,50,RL,11700,2,3,2,Crawfor,Norm,5,6,WdShing,Wd Shng,None,0.0,3,3,3,3,4.0,606.0,1.0,0.0,336.0,942.0,GasA,5,5,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,Min2,1,4.0,1,1.0,240.0,3.0,3.0,3,0,40,0,0,0,0,0.0,0.0,0,7,198000,84,84.0,26,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2243,190,C (all),8250,3,3,3,IDOTRR,Norm,5,6,VinylSd,VinylSd,None,0.0,3,4,3,3,1.0,0.0,1.0,0.0,957.0,957.0,GasA,2,5,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,Typ,0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,133,0,0,0,0.0,0.0,0,6,119600,126,126.0,15,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1957,50,RL,8064,3,3,3,NAmes,Norm,5,7,MetalSd,MetalSd,None,0.0,3,4,3,3,1.0,0.0,1.0,0.0,672.0,672.0,GasA,5,5,672,252,0,924,0.0,0.0,1,0,3,1,3,6,Typ,1,1.0,1,2.0,576.0,3.0,3.0,3,0,0,0,0,0,0,0.0,8.0,2000,7,122900,72,18.0,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
380,20,RL,9600,3,3,3,NWAmes,Norm,8,5,BrkFace,BrkFace,None,0.0,4,3,4,3,5.0,1104.0,1.0,0.0,1420.0,2524.0,GasA,3,5,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,Typ,1,4.0,5,2.0,542.0,3.0,3.0,3,474,120,0,0,0,0,0.0,8.0,0,7,278000,40,40.0,40,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2860,70,RL,11435,2,3,2,Crawfor,Norm,8,7,BrkFace,Stucco,None,0.0,3,3,4,3,1.0,0.0,1.0,0.0,792.0,792.0,GasA,2,5,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,Typ,2,4.0,1,2.0,400.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0,6,230000,92,90.0,71,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2517,120,RL,9549,2,3,3,Veenker,Norm,8,5,BrkFace,BrkFace,None,0.0,4,4,4,4,2.0,437.0,6.0,1057.0,0.0,1494.0,GasA,5,5,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,Typ,1,4.0,5,2.0,481.0,3.0,3.0,3,0,30,0,0,216,0,0.0,0.0,0,4,270000,26,26.0,25,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1933,20,RL,10950,3,3,3,NAmes,Norm,6,6,Wd Sdng,Wd Sdng,None,0.0,3,3,3,3,5.0,441.0,1.0,0.0,507.0,948.0,GasA,3,5,948,0,0,948,0.0,0.0,1,0,2,1,3,5,Typ,0,0.0,1,2.0,410.0,3.0,3.0,1,0,48,0,0,0,0,0.0,0.0,0,4,125000,69,69.0,69,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
820,20,RL,10637,3,3,3,CollgCr,Norm,8,5,VinylSd,VinylSd,Stone,336.0,4,3,5,3,6.0,1288.0,1.0,0.0,417.0,1705.0,GasA,5,5,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,Typ,1,4.0,3,3.0,826.0,3.0,3.0,3,208,44,0,0,0,0,0.0,0.0,0,9,297000,14,14.0,13,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
675,20,RL,9000,2,3,2,NAmes,Norm,6,6,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,4,3,1.0,0.0,1.0,0.0,160.0,160.0,GasA,2,5,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,Typ,1,4.0,3,1.0,384.0,3.0,3.0,3,0,28,64,0,0,0,0.0,0.0,0,4,113500,63,63.0,63,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
2910,160,RM,2665,3,3,3,MeadowV,Norm,5,6,CemntBd,CmentBd,None,0.0,3,3,3,3,5.0,548.0,3.0,173.0,36.0,757.0,GasA,5,5,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,Typ,1,3.0,3,1.0,336.0,3.0,3.0,3,104,26,0,0,0,0,0.0,0.0,0,7,127000,44,44.0,44,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
21,20,RL,11751,2,3,3,NWAmes,Norm,6,6,Plywood,Plywood,BrkFace,480.0,3,3,4,3,4.0,705.0,1.0,0.0,1139.0,1844.0,GasA,5,5,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,Typ,1,3.0,3,2.0,546.0,3.0,3.0,3,0,122,0,0,0,0,0.0,8.0,0,1,190000,44,44.0,44,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1873,20,RL,9600,3,3,3,NWAmes,Norm,7,6,HdBoard,HdBoard,BrkFace,320.0,3,3,3,3,5.0,916.0,1.0,0.0,326.0,1242.0,GasA,2,5,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,Typ,1,3.0,1,2.0,528.0,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,0,9,175500,48,48.0,48,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2125,20,RL,8428,1,3,3,CollgCr,Norm,5,7,VinylSd,VinylSd,None,0.0,3,4,4,4,6.0,420.0,1.0,0.0,570.0,990.0,GasA,5,5,990,0,0,990,1.0,0.0,1,0,3,1,3,5,Typ,0,0.0,1,1.0,384.0,3.0,3.0,3,256,0,0,0,0,0,0.0,0.0,0,7,146000,27,26.0,27,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1489,20,RL,9937,3,3,3,Edwards,Norm,5,6,HdBoard,HdBoard,None,0.0,4,3,3,3,4.0,830.0,2.0,290.0,136.0,1256.0,GasA,4,5,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,Typ,0,0.0,5,1.0,276.0,3.0,3.0,3,736,68,0,0,0,0,0.0,0.0,0,6,147500,56,56.0,56,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
